📺央视频道,#genre#
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源-1920x1080
CCTV-1,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8$订阅源-1920x1080
CCTV-1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2$订阅源-1920x1080
CCTV-2,http://113.57.111.4:1111/tsfile/live/1001_1.m3u8$订阅源-1920x1080
CCTV-2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-3,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8$订阅源-1920x1080
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3$订阅源-1920x1080
CCTV-3,http://113.57.111.4:1111/tsfile/live/1002_1.m3u8$订阅源-1920x1080
CCTV-3,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4o$订阅源-1920x1080
CCTV-4,http://113.57.111.4:1111/tsfile/live/1003_1.m3u8$订阅源-1920x1080
CCTV-4,http://183.66.15.146:60901/tsfile/live/0004_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-5,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8$订阅源-1920x1080
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5$订阅源-1920x1080
CCTV-5,http://113.57.111.4:1111/tsfile/live/1004_1.m3u8$订阅源-1920x1080
CCTV-5,http://183.66.15.146:60901/tsfile/live/0005_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p$订阅源-1920x1080
CCTV-5+,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV-6,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8$订阅源-1920x1080
CCTV-6,http://z.b.bkpcp.top/m.php?id=cctv6$订阅源-1920x1080
CCTV-6,http://113.57.111.4:1111/tsfile/live/1005_1.m3u8$订阅源-1920x1080
CCTV-6,http://183.66.15.146:60901/tsfile/live/0006_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-7,http://z.b.bkpcp.top/m.php?id=cctv7$订阅源-1920x1080
CCTV-7,http://113.57.111.4:1111/tsfile/live/1006_1.m3u8$订阅源-1920x1080
CCTV-7,http://183.66.15.146:60901/tsfile/live/0007_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-8,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8$订阅源-1920x1080
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8$订阅源-1920x1080
CCTV-8,http://113.57.111.4:1111/tsfile/live/1007_1.m3u8$订阅源-1920x1080
CCTV-8,http://183.66.15.146:60901/tsfile/live/0008_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-9,http://z.b.bkpcp.top/m.php?id=cctv9$订阅源-1920x1080
CCTV-9,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8$订阅源-1920x1080
CCTV-9,http://183.66.15.146:60901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10$订阅源-1920x1080
CCTV-10,http://113.57.111.4:1111/tsfile/live/1009_1.m3u8$订阅源-1920x1080
CCTV-10,http://221.226.4.10:9901/tsfile/live/0010_1.m3u8$订阅源-1920x1080
CCTV-10,http://183.66.15.146:60901/tsfile/live/0010_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11$订阅源-1920x1080
CCTV-11,http://113.57.111.4:1111/tsfile/live/1010_1.m3u8$订阅源-1920x1080
CCTV-11,http://183.66.15.146:60901/tsfile/live/0011_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12$订阅源-1920x1080
CCTV-12,http://113.57.111.4:1111/tsfile/live/1011_1.m3u8$订阅源-1920x1080
CCTV-12,http://221.226.4.10:9901/tsfile/live/0012_1.m3u8$订阅源-1920x1080
CCTV-12,http://183.66.15.146:60901/tsfile/live/0012_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13$订阅源-1920x1080
CCTV-13,http://113.57.111.4:1111/tsfile/live/1012_1.m3u8$订阅源-1920x1080
CCTV-13,http://183.66.15.146:60901/tsfile/live/0013_1.m3u8?key=txiptv$订阅源-1920x1080
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14$订阅源-1920x1080
CCTV-14,http://113.57.111.4:1111/tsfile/live/1013_1.m3u8$订阅源-1920x1080
CCTV-14,http://221.226.4.10:9901/tsfile/live/0014_1.m3u8$订阅源-1920x1080
